QUESTION:,OPTIONS:,CORRECT ANSWER:,DOMAIN:,
"A boat started its journey downstream at 8:00 AM. It reached a point at 1:00 PM which is 25 km away from the starting point, while for covering the same distance upstream it takes 6 hours. What is the speed of the boat in still water?",(a) 4.65 km/h (b) 5 km/h (c) 4.95 km/h (d) 4.59 km/h,D,Quantitative or Numerical Aptitude,
Which of these are valid declarations for the main method?, (a) public void main(); (b)public static void main(String args[]);  (c) public static void main(String ); (d)public static int main(String args[]);,B,JAVA, (a) 35 (b)20  (c) 40 (d)67 
"Complete the series 3, 7, 23, 95, ?", (a) 111 (b)479  (c)160 (d)877 ,B,Logical Reasoning,
What Member function places a new node at the end of the linked list?, (a) addNode (b)DisplayNode  (c) appendNode (d)StructNode,A,DATA STRUCTURE,
When a copy constructor may be called?, (a) When an object of the class is returned by value (b)When compiler generates a temporary object  (c) When an object is constructed based on another object of the same class (d)All of the above,D,C++,
"Find the sum of the arithmetic progression (AP): 7, 2, −3, −8…….22 terms",(a) 1001 (b) 1001 (c) 1010 (d) 1010,B,Quantitative or Numerical Aptitude,
Which of the following is an example of a deterministic algorithm?, (a) PCA (b)K-Means  (c)BOTH (d)NONE,A,MACHINE LEARNING,
Two atomic operations permissible on Semaphores are __________ and __________.," (a) wait, stop (b)wait, hold  (c)hold, signal (d)wait, signal ",D,OS,(c)
"Find out the wrong number.150, 450, 750, 1060, 1350, 1650, 1950", (a) 750 (b)150 (c)450(d)1060 ,D,Logical Reasoning,
Which constructs an anonymous inner class instance?, (a) Runnable r = new Runnable() { };(b)Runnable r = new Runnable(public void run() { });  (c) Runnable r = new Runnable { public void run(){}}; (d)System.out.println(new Runnable() {public void run() { }});,D,JAVA,
Let x be an integer which can take a value of 0 or 1. The statement if(x = =0) x = 1; else x = 0; is equivalent to which one of the following?, (a) x = 1 + x; (b)x = 1 - x; (c) x = x - 1; (d)x = 1 % x;,B,C,
"The amount of ₹33,630 is divided among A, B and C in such a manner that the ratio of the amount of A to that of B is 3  7 and the ratio of the amount of B to that of C is 6  5. The amount of money received by B is: ___________.","(a) ₹14,868 (b) ₹16,257 (c) ₹13,290 (d) ₹12,390",A,Quantitative or Numerical Aptitude,
Which of the following is the use of id() function in python?, (a) Id returns the identity of the object(b)Every object doesn’t have a unique id (c) All of the mentioned (d)None of the mentioned ,A,PHYTHON,
"Consider the relations r1(P, Q, R) and r2(R, S, T) with primary keys P and R respectively. The relation r1 contains 2000 tuples and r2 contains 2500 tuples. The maximum size of the join r1⋈ r2 is :", (a) 2000 (b)2500  (c) 4500 (d)1990 ,A,DBMS,
"What is the worst case time complexity for search, insert and delete operations in a general Binary Search Tree?"," (a)O(n) for all (b)O(Logn) for all (c) O(Logn) for search and insert, and O(n) for delete(d)O(Logn) for search, and O(n) for insert and delete",A,DATA STRUCTURE,
"Complete the series 6, 13, 28, 59, ?, 249.", (a) 95 (b)122  (c) 112 (d)67 ,B,Logical Reasoning,
Which of the following does not interrupt a running process?, (a)A device (b)Timer  (c) Scheduler process (d)Power failure ,C,OS,
We must use initializer list in a constructor when, (a) There is a reference variable in class (b)There is a constant variable in class  (c) There is an object of another class. And the other class doesn't have default constructor. (d)All of the above ,D,C++,
Moon : Satellite : : Earth : ?, (a) ROUND (b)SUN  (c) SOLAR SYSTEM (d)PLANET,D,Logical Reasoning,
Which of the following command is used to delete a table in SQL?, (a) delete (b)truncate  (c)remove (d)drop,D,DBMS,
Which is true about a method-local inner class?, (a)It must be marked final.  (b) It must be marked abstract. (c) It must be marked public.(d) It must be marked static.,B,JAVA,
Museum is related to Curator in the same way as Prison is related to .., (a) MANAGER (b)WARDEN  (c) MAIDEN (d)JAILOR,D,Logical Reasoning,
Which of the following is true about constructors. 1) They cannot be virtual. 2) They cannot be private. 3) They are automatically called by new operator.," (a) All 1, 2, and 3 (b)Only 1 and 3  (c)Only 1 and 2(d)Only 2 and 3 ",B,C++,
The profit obtained after selling a commodity for ₹524 is the same as the loss obtained after selling it for ₹452. The cost price of the commodity is ___________.,(a) ₹480 (b) ₹500 (c) ₹488 (d) ₹485,C,Quantitative or Numerical Aptitude,
"Which of the following hyper parameter(s), when increased may cause random forest to over fit the data? :1-Number of Trees 2-Depth of Tree 3- Learning Rate", (a) ONLY 1 (b)ONLY 2  (c) ONLY 3 (d)ALL OF THE ABOVE ,B,MACHINE LEARNING,
The statement that is executed automatically by the system as a side effect of the modification of the database is, (a) backup (b)assertion  (c) recovery (d)trigger ,D,DBMS,
"In alphabet series, some alphabets are missing which are given in that order as one of the alternatives below it. Choose the correct alternative.G4T, J10R, M20P, P43N, S90L", (a) U88I (b)Y54I  (c) J10R (d)K77Y ,C,Logical Reasoning,
"Suppose list1 is [3, 4, 5, 20, 5, 25, 1, 3], what is list1 after list1.pop(1)?"," (a) [3, 4, 5, 20, 5, 25, 1, 3] (b)[1, 3, 3, 4, 5, 5, 20, 25]  (c) [3, 5, 20, 5, 25, 1, 3] (d)[1, 3, 4, 5, 20, 5, 25] ",C,PHYTHON,
To evaluate an expression without any embedded function calls:, (a) One stack is enough (b)Two stacks are needed  (c)As many stacks as the height of the expression tree are needed (d)A Turing machine is needed in the general case,A,DATA STRUCTURE,
Which of the following statements should be used to obtain a remainder after dividing 3.14 by 2.1 ?," (a) rem = 3.14 % 2.1; (b)rem = modf(3.14, 2.1);  (c)rem = fmod(3.14, 2.1);(d)Remainder cannot be obtain in floating point division.",C,C,
Devesh can cover a certain distance in 1 hour 24 minutes by covering two-third of the distance at 6 km/hour and the rest at 7 km/hr. Calculate total distance., (a) 8 km (b) 9 km (c) 6km (d) 7km,C,Quantitative or Numerical Aptitude,
Which of the following are valid constructors within a class Test, (a) test() { }(b)Test() { }  (c)Test(void) { } (d)void Test() { },B,JAVA,
"Find the H.C.F, if the numbers are in the ratio of 4 : 5 : 6 and their L.C.M. is 2400.", (a) 35 (b)20  (c) 40 (d)67 ,B,Quantitative or Numerical Aptitude,
What are the types of linkages?," (a) Internal and External (b)External and None  (c) External, Internal and None (d)NONE OF THESE",C,C,
Which one of the following queries always gives the same answer as the nested query shown below::select * from R where a in (select S.a from S) ," (a)select R.* from R, S where R.a=S.a (D) (b)select distinct R.* from R,S where R.a=S.a  (c) select R.* from R,(select distinct a from S) as S1 where R.a=S1.a (d)select R.* from R,S where R.a=S.a and is unique R",C,DBMS,
The day after the day after tomorrow is four days before Monday. What day is it today?, (a) SUNDAY (b)FRIDAY (c) TUESDAY (d)MONDAY,D,Logical Reasoning,
"Let’s say, you are using activation function X in hidden layers of neural network. At a particular neuron for any given input, you get the output as “-0.0001”. Which of the following activation function could X represent?", (a)ReLU (b)tanh  (c)SIGMOID (d)None of these ,B,MACHINE LEARNING,
"In covering a distance of 40 km, Kamlesh takes 2 hours more than Pankaj. If Kamlesh doubles his speed, then he would take 1 hour less than Pankaj. Then what is Kamlesh's speed?", (a) 11 kmph (b) 5 kmph (c) 9kmph (d) 7kmph,B,Quantitative or Numerical Aptitude,
Which operator is used to perform bitwise inversion in Java. Select the one correct answer, (a) ~(b)| (c) & (d)- ,A,JAVA,
"Consider three CPU intensive processes, which require 10, 20, 30 units and arrive at times 0, 2, 6 respectively. How many context switches are needed if shortest remaining time first is implemented? Context switch at 0 is included but context switch at end is ignored", (a) 1 (b)2  (c) 3 (d)4 ,C,OS,
"Given relations r(w, x) and s(y, z), the result of:SELECT DISTINCT w, x        FROM r, s ...is guaranteed to be same as r, provided", (a)r has no duplicates and s is non-empty (b)r and s have no duplicates  (c)s has no duplicates and r is non-empty (d)r and s have the same number of tuples ,A,DBMS,
The time complexity of computing the transitive closure of a binary relation on a set of n elements is known to be:," (a) O(n) (b)O(nLogn)  (c)O(n ^ (3/2)) (d)O(n^3)
 ",D,DATA STRUCTURE,
Maximum how long can a Linux filename be?, (a)128 bytes(b)255 bytes  (c) 32 bytes (d) 64 bytes ,B,LINUX,
Which one of the following is an application of Stack Data Structure?," (a)  Managing function calls (b)The stock span problem  (c) Arithmetic expression evaluation (d) All of the above
",D,DATA STRUCTURE,
"At a conference, 12 members shook hands with each other before & after the meeting. How many total number of hand shakes occurred?", (a) 100 (b)122(c) 132 (d)145,C,Logical Reasoning,
, (a) 35 (b)20  (c) 40 (d)67 ,,PERSONAL RESPONSE,
Which of the following OS is not based on Linux?, (a) Ubuntu (b)Redhat  (c) CentOs (d)BSD,D,LINUX,
What is the unit digit in 2^30?, (a) 1 (b)4  (c) 0 (d)7 ,B,Quantitative or Numerical Aptitude,
, (a) 35 (b)20  (c) 40 (d)67 ,,PERSONAL RESPONSE,
Which of the following value of K will have least leave-one-out cross validation accuracy?, (a) 1NN (b)2NN  ©3NN (d)All have same leave one out error ,A,MACHINE LEARNING,
How many distinct binary search trees can be created out of 4 distinct keys?, (a) 4 (b)14  (c) 20 (d)24 ,B,DATA STRUCTURE,
"Complete the series 1,6,13,22,33,..", (a) 46 (b)48(c) 49 (d)51,A,Logical Reasoning,
"In Python,What is called when a function is defined inside a class?", (a) Module (b)Class(c)Another Function (d)Method,D,PHYTHON,
